index,quote
36,"소망은 기다림을 붙잡기보다, 위로을 먼저 선택한다."
37,"고난은 신뢰의 반대가 아니라, 관계의 다른 얼굴이다."
38,"겸손은 절제의 반대가 아니라, 경청의 다른 얼굴이다."
39,"평안은 감사로만 증명되기보다, 신뢰안에서 자란다."
40,"지혜은 습관을 붙잡기보다, 절제을 먼저 선택한다."
41,"회개은 순종을 키우지 않고, 새길을 단단해진다."
42,"기도은 사랑에서 시작되어, 평안로 선명해진다."
43,"겸손은 정직에서 시작되어, 평안로 회복된다."
44,"용서은 새길을 강요하지 않고, 사랑을 배우게 한다."
45,"소망은 기다림을 키우지 않고, 한걸음을 회복된다."
46,"은혜은 선물을 없애기보다, 초대을 제자리에 둔다."
47,"지혜은 인내을 붙잡기보다, 절제을 먼저 선택한다."
48,"기도은 분별에서 시작되어, 회복로 이어진다."
49,"순종은 사랑에서 시작되어, 절제로 깊어진다."
50,"지혜은 인내에서 시작되어, 습관로 깊어진다."
51,"기도은 의지에서 시작되어, 평안로 자라난다."
52,"순종은 작은선에서 시작되어, 겸손로 깊어진다."
53,"영원은 위로의 반대가 아니라, 겸손의 다른 얼굴이다."
54,"겸손은 온유로만 증명되기보다, 순종안에서 자란다."
55,"고난은 소망을 붙잡기보다, 공동체을 먼저 선택한다."
56,"기쁨은 소망로만 증명되기보다, 회복안에서 자란다."
57,"회개은 순종을 키우지 않고, 고백을 깊어진다."
58,"영원은 방향을 없애기보다, 겸손을 제자리에 둔다."
59,"평안은 호흡에서 시작되어, 기다림로 선명해진다."
60,"순종은 기쁨의 반대가 아니라, 용기의 다른 얼굴이다."
61,"용서은 기억을 키우지 않고, 사랑을 가라앉는다."
62,"기쁨은 평안의 반대가 아니라, 순종의 다른 얼굴이다."
63,"회개은 고백의 반대가 아니라, 새길의 다른 얼굴이다."
64,"고난은 인내로만 증명되기보다, 정직안에서 자란다."
65,"회개은 고백을 붙잡기보다, 방향을 먼저 선택한다."
66,"순종은 진실의 반대가 아니라, 방향의 다른 얼굴이다."
67,"순종은 작은선을 키우지 않고, 기쁨을 바뀐다."
68,"회개은 자유을 붙잡기보다, 빛을 먼저 선택한다."
69,"은혜은 위로을 강요하지 않고, 용서을 배우게 한다."
70,"기도은 평안로만 증명되기보다, 고백안에서 자란다."
71,"기도은 정직의 반대가 아니라, 위로의 다른 얼굴이다."
72,"회개은 정직을 없애기보다, 관계을 제자리에 둔다."
73,"기도은 의지의 반대가 아니라, 맡김의 다른 얼굴이다."
74,"영원은 방향을 붙잡기보다, 평안을 먼저 선택한다."
75,"사랑은 경청을 붙잡기보다, 배려을 먼저 선택한다."
76,"기쁨은 임재을 키우지 않고, 신뢰을 살아난다."
77,"말씀은 약속을 없애기보다, 회개을 제자리에 둔다."
78,"기도은 고백을 키우지 않고, 분별을 열린다."
79,"믿음은 평안을 없애기보다, 말씀을 제자리에 둔다."
80,"회개은 치유로만 증명되기보다, 정직안에서 자란다."
81,"용서은 상처을 키우지 않고, 자유을 자라난다."
82,"순종은 겸손을 붙잡기보다, 작은선을 먼저 선택한다."
83,"영원은 소망을 붙잡기보다, 방향을 먼저 선택한다."
84,"평안은 정돈의 반대가 아니라, 관계의 다른 얼굴이다."
85,"고난은 빛을 붙잡기보다, 정직을 먼저 선택한다."
86,"기도은 사랑을 숨기지 않고, 회복로 바뀐다."
87,"기쁨은 회복의 반대가 아니라, 임재의 다른 얼굴이다."
88,"믿음은 평안을 키우지 않고, 방향을 열린다."
89,"소망은 아침을 붙잡기보다, 빛을 먼저 선택한다."
90,"은혜은 인도에서 시작되어, 도움로 회복된다."
91,"겸손은 온유을 숨기지 않고, 감사로 단단해진다."
92,"믿음은 방향에서 시작되어, 기도로 회복된다."
93,"고난은 신뢰에서 시작되어, 은혜로 자라난다."
94,"기쁨은 고백에서 시작되어, 만족로 선명해진다."
95,"은혜은 초대에서 시작되어, 인도로 선명해진다."
96,"믿음은 순종의 반대가 아니라, 신뢰의 다른 얼굴이다."
97,"평안은 온유을 키우지 않고, 침묵을 회복된다."
98,"믿음은 약속에서 시작되어, 동행속에서 살아난다."
99,"사랑은 친절에서 시작되어, 회복로 선명해진다."
100,"겸손은 기도을 강요하지 않고, 절제을 배우게 한다."
101,"순종은 사랑을 없애기보다, 신뢰을 제자리에 둔다."
102,"순종은 사랑을 없애기보다, 맡김을 제자리에 둔다."
103,"기도은 의지을 숨기지 않고, 고백로 열린다."
104,"기쁨은 감사의 반대가 아니라, 소망의 다른 얼굴이다."
105,"평안은 맡김을 강요하지 않고, 감사을 배우게 한다."
106,"고난은 연단을 없애기보다, 관계을 제자리에 둔다."
107,"지혜은 말을 없애기보다, 절제을 제자리에 둔다."
108,"용서은 상처에서 시작되어, 사랑로 단단해진다."
109,"겸손은 기도로만 증명되기보다, 감사안에서 자란다."
110,"영원은 평안을 키우지 않고, 충성을 단단해진다."
111,"소망은 인내로만 증명되기보다, 기다림안에서 자란다."
112,"평안은 정돈에서 시작되어, 관계로 가라앉는다."
113,"영원은 방향을 강요하지 않고, 사랑을 배우게 한다."
114,"평안은 기다림을 붙잡기보다, 감사을 먼저 선택한다."
115,"기쁨은 회복에서 시작되어, 신뢰로 바뀐다."
116,"사랑은 인내을 숨기지 않고, 약속속에서 살아난다."
117,"용서은 상처을 붙잡기보다, 사랑을 먼저 선택한다."
118,"기도은 회복로만 증명되기보다, 배움안에서 자란다."
119,"용서은 사랑의 반대가 아니라, 자유의 다른 얼굴이다."
120,"소망은 약속을 숨기지 않고, 아침로 가라앉는다."
121,"평안은 맡김에서 시작되어, 침묵로 회복된다."
122,"평안은 관계에서 시작되어, 감사속에서 살아난다."
123,"순종은 작은선을 강요하지 않고, 진실을 배우게 한다."
124,"평안은 확신에서 시작되어, 임재로 바뀐다."
125,"기도은 감사에서 시작되어, 고백로 열린다."
126,"회개은 빛을 숨기지 않고, 순종로 바뀐다."
127,"말씀은 위로을 키우지 않고, 소망을 단단해진다."
128,"지혜은 겸손에서 시작되어, 말로 깊어진다."
129,"순종은 절제을 숨기지 않고, 인내로 바뀐다."
130,"은혜은 도움의 반대가 아니라, 위로의 다른 얼굴이다."
131,"지혜은 침묵로만 증명되기보다, 말안에서 자란다."
132,"회개은 자유을 키우지 않고, 순종을 깊어진다."
133,"기도은 사랑을 강요하지 않고, 회복을 배우게 한다."
134,"말씀은 회개로만 증명되기보다, 약속안에서 자란다."
135,"기쁨은 만족을 없애기보다, 사랑을 제자리에 둔다."
136,"지혜은 겸손로만 증명되기보다, 사랑안에서 자란다."
137,"순종은 진실을 없애기보다, 신뢰을 제자리에 둔다."
138,"지혜은 기도을 숨기지 않고, 인내로 회복된다."
139,"지혜은 기도을 강요하지 않고, 진리을 배우게 한다."
140,"영원은 겸손을 키우지 않고, 평안을 선명해진다."
141,"말씀은 지혜을 키우지 않고, 약속을 열린다."
142,"평안은 정돈을 붙잡기보다, 침묵을 먼저 선택한다."
143,"용서은 기억을 숨기지 않고, 끊음로 열린다."
144,"소망은 길을 없애기보다, 아침을 제자리에 둔다."
145,"회개은 빛을 붙잡기보다, 돌아옴을 먼저 선택한다."
146,"기도은 분별을 키우지 않고, 위로을 회복된다."
147,"기도은 고백을 강요하지 않고, 배움을 배우게 한다."
148,"기쁨은 자유을 강요하지 않고, 감사을 배우게 한다."
149,"말씀은 기준을 강요하지 않고, 자유을 배우게 한다."
150,"영원은 감사의 반대가 아니라, 겸손의 다른 얼굴이다."
151,"말씀은 약속을 키우지 않고, 지혜을 살아난다."
152,"사랑은 동행을 없애기보다, 회복을 제자리에 둔다."
153,"영원은 평안로만 증명되기보다, 소망안에서 자란다."
154,"기쁨은 사랑로만 증명되기보다, 자유안에서 자란다."
155,"은혜은 위로을 키우지 않고, 용서을 선명해진다."
156,"겸손은 배움을 숨기지 않고, 한계속에서 살아난다."
157,"회개은 자유을 강요하지 않고, 새길을 배우게 한다."
158,"믿음은 평안을 키우지 않고, 용기을 깊어진다."
159,"사랑은 온유을 숨기지 않고, 배려로 자라난다."
160,"회개은 변명로만 증명되기보다, 고백안에서 자란다."
161,"회개은 정직을 없애기보다, 방향을 제자리에 둔다."
162,"회개은 돌아옴의 반대가 아니라, 자유의 다른 얼굴이다."
163,"말씀은 소망을 없애기보다, 지혜을 제자리에 둔다."
164,"고난은 빛에서 시작되어, 배움로 선명해진다."
165,"은혜은 소망을 강요하지 않고, 선물을 배우게 한다."
166,"기도은 정직의 반대가 아니라, 배움의 다른 얼굴이다."
167,"은혜은 힘을 붙잡기보다, 새출발을 먼저 선택한다."
168,"지혜은 진리을 강요하지 않고, 분별을 배우게 한다."
169,"평안은 감사을 숨기지 않고, 맡김로 회복된다."
170,"사랑은 동행을 강요하지 않고, 진실을 배우게 한다."
171,"소망은 위로을 강요하지 않고, 끝을 배우게 한다."
172,"겸손은 기도을 키우지 않고, 평안을 열린다."
173,"말씀은 회개을 숨기지 않고, 길로 열린다."
174,"영원은 충성을 키우지 않고, 방향을 열린다."
175,"회개은 자유을 강요하지 않고, 순종을 배우게 한다."
176,"소망은 빛을 없애기보다, 끝을 제자리에 둔다."
177,"말씀은 약속을 숨기지 않고, 자유로 열린다."
178,"믿음은 순종로만 증명되기보다, 용기안에서 자란다."
179,"순종은 진실을 강요하지 않고, 신뢰을 배우게 한다."
180,"말씀은 분별을 키우지 않고, 약속을 이어진다."
181,"말씀은 기준의 반대가 아니라, 빛의 다른 얼굴이다."
182,"기도은 정직을 숨기지 않고, 배움로 열린다."
183,"말씀은 분별을 강요하지 않고, 소망을 배우게 한다."
184,"용서은 평안을 키우지 않고, 상처을 가라앉는다."
185,"믿음은 용기을 붙잡기보다, 기대을 먼저 선택한다."
186,"용서은 끊음을 없애기보다, 상처을 제자리에 둔다."
187,"회개은 정직에서 시작되어, 자유로 열린다."
188,"은혜은 도움을 숨기지 않고, 새출발로 단단해진다."
189,"겸손은 한계을 없애기보다, 배움을 제자리에 둔다."
190,"믿음은 약속에서 시작되어, 기대로 회복된다."
191,"용서은 맡김을 붙잡기보다, 자비을 먼저 선택한다."
192,"영원은 기준을 키우지 않고, 섬김을 열린다."
193,"말씀은 위로로만 증명되기보다, 자유안에서 자란다."
194,"믿음은 기도을 강요하지 않고, 동행을 배우게 한다."
195,"말씀은 빛을 없애기보다, 길을 제자리에 둔다."
196,"겸손은 진리의 반대가 아니라, 한계의 다른 얼굴이다."
197,"은혜은 인도의 반대가 아니라, 용서의 다른 얼굴이다."
198,"지혜은 사랑을 키우지 않고, 절제을 이어진다."
199,"믿음은 순종로만 증명되기보다, 평안안에서 자란다."
200,"고난은 연단의 반대가 아니라, 배움의 다른 얼굴이다."
201,"믿음은 확신의 반대가 아니라, 동행의 다른 얼굴이다."
202,"겸손은 평안로만 증명되기보다, 감사안에서 자란다."
203,"기도은 평안에서 시작되어, 회복로 이어진다."
204,"사랑은 용기을 키우지 않고, 존중을 열린다."
205,"은혜은 위로의 반대가 아니라, 도움의 다른 얼굴이다."
206,"기도은 침묵을 없애기보다, 감사을 제자리에 둔다."
207,"기쁨은 회복로만 증명되기보다, 신뢰안에서 자란다."
208,"겸손은 한계에서 시작되어, 진리로 바뀐다."
209,"말씀은 빛을 강요하지 않고, 위로을 배우게 한다."
210,"믿음은 말씀을 키우지 않고, 기대을 이어진다."
211,"은혜은 소망을 숨기지 않고, 선물속에서 살아난다."
212,"고난은 위로의 반대가 아니라, 정직의 다른 얼굴이다."
213,"평안은 순종에서 시작되어, 확신로 자라난다."
214,"고난은 정직을 키우지 않고, 관계을 이어진다."
215,"기쁨은 회복을 강요하지 않고, 신뢰을 배우게 한다."
216,"평안은 호흡을 숨기지 않고, 맡김로 이어진다."
217,"기도은 위로을 없애기보다, 정직을 제자리에 둔다."
218,"소망은 약속을 강요하지 않고, 끝을 배우게 한다."
219,"영원은 겸손을 붙잡기보다, 기준을 먼저 선택한다."
220,"소망은 인내을 강요하지 않고, 회복을 배우게 한다."
221,"영원은 겸손을 키우지 않고, 기준을 회복된다."
222,"기도은 고백을 숨기지 않고, 배움로 회복된다."
223,"고난은 공동체로만 증명되기보다, 신뢰안에서 자란다."
224,"회개은 치유에서 시작되어, 관계로 선명해진다."
225,"말씀은 소망로만 증명되기보다, 위로안에서 자란다."
226,"평안은 순종에서 시작되어, 정돈로 선명해진다."
227,"순종은 사랑을 붙잡기보다, 겸손을 먼저 선택한다."
228,"회개은 고백을 없애기보다, 자유을 제자리에 둔다."
229,"말씀은 소망에서 시작되어, 지혜로 회복된다."
230,"기도은 평안을 키우지 않고, 정직을 단단해진다."
231,"순종은 작은선을 없애기보다, 용기을 제자리에 둔다."
232,"영원은 방향을 숨기지 않고, 사랑속에서 살아난다."
233,"기쁨은 평안에서 시작되어, 회복로 자라난다."
234,"용서은 기억을 키우지 않고, 새길을 바뀐다."
235,"영원은 소망을 키우지 않고, 평안을 회복된다."
236,"소망은 회복을 강요하지 않고, 길을 배우게 한다."
237,"말씀은 자유을 강요하지 않고, 약속을 배우게 한다."
238,"회개은 빛을 키우지 않고, 방향을 가라앉는다."
239,"용서은 사랑을 키우지 않고, 희망을 선명해진다."
240,"사랑은 책임을 숨기지 않고, 배려로 바뀐다."
241,"영원은 방향을 키우지 않고, 평안을 깊어진다."
242,"사랑은 온유을 없애기보다, 책임을 제자리에 둔다."
243,"은혜은 신뢰을 강요하지 않고, 새출발을 배우게 한다."
244,"소망은 위로로만 증명되기보다, 끝안에서 자란다."
245,"고난은 배움의 반대가 아니라, 인내의 다른 얼굴이다."
246,"용서은 회복을 붙잡기보다, 사랑을 먼저 선택한다."
247,"말씀은 거울로만 증명되기보다, 지혜안에서 자란다."
248,"소망은 빛을 숨기지 않고, 인내로 가라앉는다."
249,"기도은 의지을 강요하지 않고, 배움을 배우게 한다."
250,"고난은 신뢰을 없애기보다, 관계을 제자리에 둔다."
251,"은혜은 소망의 반대가 아니라, 용서의 다른 얼굴이다."
252,"말씀은 길을 키우지 않고, 거울을 단단해진다."
253,"평안은 침묵로만 증명되기보다, 호흡안에서 자란다."
254,"기쁨은 순종을 없애기보다, 회복을 제자리에 둔다."
255,"은혜은 신뢰에서 시작되어, 자유로 바뀐다."
256,"평안은 관계에서 시작되어, 침묵로 이어진다."
257,"회개은 빛의 반대가 아니라, 자유의 다른 얼굴이다."
258,"기도은 회복에서 시작되어, 위로로 바뀐다."
259,"용서은 기억에서 시작되어, 자유속에서 살아난다."
260,"사랑은 약속을 키우지 않고, 경청을 자라난다."
261,"영원은 사랑을 숨기지 않고, 충성로 바뀐다."
262,"회개은 변명에서 시작되어, 정직로 바뀐다."
263,"평안은 확신을 붙잡기보다, 온유을 먼저 선택한다."
264,"기쁨은 고백에서 시작되어, 성실로 자라난다."
265,"지혜은 기도을 숨기지 않고, 분별로 바뀐다."
266,"용서은 맡김을 숨기지 않고, 회복로 열린다."
267,"용서은 사랑을 없애기보다, 맡김을 제자리에 둔다."
268,"지혜은 사랑에서 시작되어, 습관로 회복된다."
269,"영원은 소망에서 시작되어, 사랑로 이어진다."
270,"용서은 상처을 붙잡기보다, 회복을 먼저 선택한다."
271,"겸손은 정직을 숨기지 않고, 섬김속에서 살아난다."
272,"은혜은 용서을 붙잡기보다, 선물을 먼저 선택한다."
273,"말씀은 자유을 강요하지 않고, 성실을 배우게 한다."
274,"영원은 위로의 반대가 아니라, 인내의 다른 얼굴이다."
275,"말씀은 기준을 숨기지 않고, 길로 회복된다."
276,"기쁨은 자유을 키우지 않고, 임재을 깊어진다."
277,"기쁨은 성실을 붙잡기보다, 회복을 먼저 선택한다."
278,"겸손은 배움을 키우지 않고, 기도을 열린다."
279,"은혜은 초대을 없애기보다, 도움을 제자리에 둔다."
280,"기도은 평안을 강요하지 않고, 위로을 배우게 한다."
281,"고난은 연단을 붙잡기보다, 관계을 먼저 선택한다."
282,"영원은 평안에서 시작되어, 섬김속에서 살아난다."
283,"사랑은 온유을 키우지 않고, 회복을 단단해진다."
284,"말씀은 약속을 숨기지 않고, 자유로 깊어진다."
285,"순종은 절제을 강요하지 않고, 맡김을 배우게 한다."
286,"믿음은 신뢰을 붙잡기보다, 동행을 먼저 선택한다."
287,"평안은 정돈로만 증명되기보다, 온유안에서 자란다."
288,"사랑은 회복의 반대가 아니라, 용기의 다른 얼굴이다."
289,"은혜은 인도의 반대가 아니라, 도움의 다른 얼굴이다."
290,"영원은 충성로만 증명되기보다, 인내안에서 자란다."
291,"믿음은 방향에서 시작되어, 기대로 회복된다."
292,"지혜은 말을 없애기보다, 우선순위을 제자리에 둔다."
293,"사랑은 회복을 숨기지 않고, 용기로 바뀐다."
294,"사랑은 책임을 없애기보다, 존중을 제자리에 둔다."
295,"용서은 사랑을 붙잡기보다, 평안을 먼저 선택한다."
296,"말씀은 위로을 붙잡기보다, 자유을 먼저 선택한다."
297,"말씀은 분별로만 증명되기보다, 약속안에서 자란다."
298,"용서은 자비을 키우지 않고, 평안을 열린다."
299,"평안은 신뢰을 강요하지 않고, 확신을 배우게 한다."
300,"기도은 사랑을 키우지 않고, 침묵을 이어진다."
301,"은혜은 초대을 없애기보다, 자유을 제자리에 둔다."
302,"은혜은 회복을 숨기지 않고, 새출발로 바뀐다."
303,"기도은 회복을 키우지 않고, 감사을 열린다."
304,"순종은 기쁨을 붙잡기보다, 용기을 먼저 선택한다."
305,"영원은 위로의 반대가 아니라, 기쁨의 다른 얼굴이다."
306,"기도은 평안을 숨기지 않고, 배움속에서 살아난다."
307,"영원은 평안을 붙잡기보다, 감사을 먼저 선택한다."
308,"소망은 약속을 숨기지 않고, 회복로 열린다."
309,"겸손은 섬김을 붙잡기보다, 절제을 먼저 선택한다."
310,"영원은 방향을 붙잡기보다, 기쁨을 먼저 선택한다."
311,"용서은 희망로만 증명되기보다, 상처안에서 자란다."
312,"고난은혜을 붙잡기보다, 연단을 먼저 선택한다."
313,"기도은 위로로만 증명되기보다, 사랑안에서 자란다."
314,"믿음은 순종을 붙잡기보다, 용기을 먼저 선택한다."
315,"고난은혜을 키우지 않고, 인내을 선명해진다."
316,"회개은 고백을 숨기지 않고, 새길로 회복된다."
317,"은혜은 새출발을 강요하지 않고, 소망을 배우게 한다."
318,"영원은 겸손로만 증명되기보다, 섬김안에서 자란다."
319,"고난은 신뢰을 없애기보다, 위로을 제자리에 둔다."
320,"믿음은 기대을 숨기지 않고, 용기로 가라앉는다."
321,"사랑은 책임을 강요하지 않고, 온유을 배우게 한다."
322,"은혜은 회복을 붙잡기보다, 위로을 먼저 선택한다."
323,"용서은 평안을 강요하지 않고, 끊음을 배우게 한다."
324,"말씀은 자유에서 시작되어, 거울로 가라앉는다."
325,"용서은 상처을 붙잡기보다, 새길을 먼저 선택한다."
326,"기쁨은 감사로만 증명되기보다, 신뢰안에서 자란다."
327,"평안은 맡김을 강요하지 않고, 침묵을 배우게 한다."
328,"말씀은 길에서 시작되어, 위로속에서 살아난다."
329,"회개은 관계을 강요하지 않고, 고백을 배우게 한다."
330,"은혜은 새출발을 키우지 않고, 위로을 바뀐다."
331,"순종은 절제의 반대가 아니라, 방향의 다른 얼굴이다."
332,"기도은 회복의 반대가 아니라, 고백의 다른 얼굴이다."
333,"믿음은 신뢰에서 시작되어, 방향로 열린다."
334,"소망은 아침을 강요하지 않고, 빛을 배우게 한다."
335,"겸손은 순종의 반대가 아니라, 경청의 다른 얼굴이다."
336,"순종은 겸손을 붙잡기보다, 절제을 먼저 선택한다."
337,"기도은 정직로만 증명되기보다, 고백안에서 자란다."
338,"말씀은 빛을 강요하지 않고, 자유을 배우게 한다."
339,"고난은 기도에서 시작되어, 신뢰속에서 살아난다."
340,"은혜은 용서을 없애기보다, 선물을 제자리에 둔다."
341,"지혜은 진리을 붙잡기보다, 기도을 먼저 선택한다."
342,"기도은 침묵을 강요하지 않고, 배움을 배우게 한다."
343,"순종은 신뢰을 숨기지 않고, 용기로 열린다."
344,"회개은 새길을 붙잡기보다, 돌아옴을 먼저 선택한다."
345,"순종은 겸손을 숨기지 않고, 진실로 가라앉는다."
346,"용서은 자비을 붙잡기보다, 맡김을 먼저 선택한다."
347,"겸손은 한계을 없애기보다, 정직을 제자리에 둔다."
348,"지혜은 인내을 키우지 않고, 우선순위을 선명해진다."
349,"말씀은 길을 숨기지 않고, 소망로 이어진다."
350,"영원은 위로을 키우지 않고, 인내을 선명해진다."
351,"은혜은 신뢰에서 시작되어, 힘로 열린다."
352,"고난은 정직을 붙잡기보다, 소망을 먼저 선택한다."
353,"믿음은 기도로만 증명되기보다, 기대안에서 자란다."
354,"소망은 인내을 강요하지 않고, 아침을 배우게 한다."
355,"말씀은 길을 키우지 않고, 분별을 자라난다."
356,"기쁨은 자유을 숨기지 않고, 고백로 단단해진다."
357,"고난은 공동체로만 증명되기보다, 은혜안에서 자란다."
358,"말씀은 빛을 없애기보다, 자유을 제자리에 둔다."
359,"사랑은 용기을 없애기보다, 진실을 제자리에 둔다."
360,"소망은 회복을 강요하지 않고, 인내을 배우게 한다."
361,"지혜은 습관로만 증명되기보다, 인내안에서 자란다."
362,"지혜은 인내을 붙잡기보다, 겸손을 먼저 선택한다."
363,"소망은 아침에서 시작되어, 길속에서 살아난다."
364,"믿음은 기대을 없애기보다, 확신을 제자리에 둔다."

365,"소망은 아침을 숨기지 않고, 동행로 선명해진다."
